location_name,iso_a3,highBP,highLDL,diabetes,smoking,highBMI,unhealthyDiet,lowPhysicalActivity,,,,,,,,,
Afghanistan,AFG,86.61975797,51.58635983,44.11099145,16.13565521,42.44071492,71.94439313,9.01530999,,,,,,,,,
Albania,ALB,271.81250240,102.58233630,63.39205084,82.45012676,91.07730020,201.19513460,10.43997699,,,,,,,,,
Algeria,DZA,127.61993010,65.79642567,68.66055119,29.48250315,63.68014260,81.14980336,20.24910360,,,,,,,,,
American Samoa,ASM,126.44215810,56.50754333,67.53852689,44.42068168,79.34933640,77.17530511,9.99614707,,,,,,,,,
Andorra,AND,107.50693450,49.49708247,33.94278622,23.66799971,34.64123296,55.17544801,10.15717325,,,,,,,,,
Angola,AGO,54.03309759,13.15246305,15.29186294,8.14495413,14.82849609,24.14788986,1.65358913,,,,,,,,,
Antigua and Barbuda,ATG,122.75054730,41.35221901,58.01563881,16.48490709,49.19498541,65.80729084,10.19330645,,,,,,,,,
Argentina,ARG,108.53550280,50.20288971,40.05132814,31.45894674,42.41198908,77.49097522,1.66889426,,,,,,,,,
Armenia,ARM,249.39657300,114.41763650,121.27670120,75.51629201,101.20503370,198.42636670,16.57412462,,,,,,,,,
Australia,AUS,90.64807802,57.03640540,39.44081921,17.13927276,36.29978287,67.84035005,12.46492345,,,,,,,,,
Austria,AUT,194.91416110,105.52791790,70.71312950,42.62199652,57.46330188,118.33670430,19.33685459,,,,,,,,,
Azerbaijan,AZE,225.78352540,115.94521800,109.29074150,75.74012573,110.90308670,181.39283470,11.52206742,,,,,,,,,
Bahamas,BHS,138.79818760,43.49472414,49.05859142,17.05979062,71.08538413,64.91967897,8.76795966,,,,,,,,,
Bahrain,BHR,49.44305342,34.41844884,27.37331275,16.26713045,32.48763137,31.45753426,7.14217363,,,,,,,,,
Bangladesh,BGD,110.51674130,30.60582543,36.28808933,28.66996171,20.70120983,77.31603518,5.19419534,,,,,,,,,
Barbados,BRB,160.55384250,59.20339306,73.93822432,17.05178800,61.88205707,77.79508349,17.68642562,,,,,,,,,
Belarus,BLR,461.54651380,261.07488240,106.68981290,136.07287060,177.63690380,368.59684530,34.18964698,,,,,,,,,
Belgium,BEL,144.59656900,66.22191891,54.76551919,35.28394137,37.29058032,87.95950185,15.97290832,,,,,,,,,
Belize,BLZ,59.10857059,24.51385807,22.35854264,11.51028653,32.33199342,29.40131969,5.32504307,,,,,,,,,
Benin,BEN,50.94736958,13.90461654,18.36207980,5.47231577,20.34083709,26.43412987,1.70260108,,,,,,,,,
Bermuda,BMU,153.36836100,76.70926541,68.93848499,30.22401699,64.78771849,104.14171000,21.73915430,,,,,,,,,
Bhutan,BTN,82.41672685,44.49167831,31.95297911,12.93599618,24.67918870,58.94062448,7.23324270,,,,,,,,,
Bolivia (Plurinational State of),BOL,56.99283095,28.25390556,28.56688226,8.54007912,34.01155209,45.41792884,3.12169431,,,,,,,,,
Bosnia and Herzegovina,BIH,309.58322420,154.60350410,174.42916910,118.06915500,110.51337090,214.27367800,16.28367321,,,,,,,,,
Botswana,BWA,94.70859743,23.91247488,35.88578571,21.73600410,46.70340773,51.32844613,3.55292503,,,,,,,,,
Brazil,BRA,98.56989902,45.86589546,37.27145287,26.71087941,45.46509878,53.92724392,13.95185269,,,,,,,,,
Brunei Darussalam,BRN,61.26950307,34.15475958,34.24339033,20.76980166,18.84215722,47.21189803,3.50334837,,,,,,,,,
Bulgaria,BGR,663.15043590,276.02340440,247.74063070,161.23137380,271.76417670,471.36414820,31.33653684,,,,,,,,,
Burkina Faso,BFA,51.83899335,9.04002497,17.89879642,5.04048143,16.55525380,32.04653252,0.99207501,,,,,,,,,
Burundi,BDI,52.10880745,12.67086942,11.04797515,6.32651009,9.87398557,27.86837556,0.58046626,,,,,,,,,
Cote d'Ivoire,CIV,53.73449136,15.29421558,15.82984903,8.67716097,19.20765666,28.29451451,1.65400452,,,,,,,,,
Cabo Verde,CPV,112.58163160,38.55176716,49.27727388,9.62378393,35.31887658,58.84819936,5.07664103,,,,,,,,,
Cambodia,KHM,81.00495985,33.53366003,47.76394842,34.35703209,20.72893753,70.39673137,2.89655220,,,,,,,,,
Cameroon,CMR,54.23387280,7.85221602,13.24058339,6.61864743,26.77473795,24.28040974,1.82323664,,,,,,,,,
Canada,CAN,99.80820685,61.36214028,44.58306804,30.78705316,40.58974587,76.89437181,10.93168893,,,,,,,,,
Central African Republic,CAF,85.83908260,20.66060829,24.10432735,9.87638310,16.67803721,45.44395068,2.17685299,,,,,,,,,
Chad,TCD,44.38236564,12.59651862,13.80413302,5.57490820,10.60944897,29.90268923,1.10044629,,,,,,,,,
Chile,CHL,99.58773652,35.50965817,41.24781929,18.89906958,38.04660535,54.07534842,4.04985595,,,,,,,,,
China,CHN,173.79117650,64.39925346,49.23827687,57.82729729,38.63603689,124.00844680,8.92833261,,,,,,,,,
Colombia,COL,72.98255682,41.14136372,42.22349068,11.58057908,30.40804368,57.48681712,4.03630453,,,,,,,,,
Comoros,COM,93.09775819,28.45290676,21.21005032,10.60272108,27.01159076,51.45978470,1.04054903,,,,,,,,,
Congo,COG,88.33613281,23.77028618,25.56712312,9.06418579,36.99806102,42.46833393,3.31733372,,,,,,,,,
Cook Islands,COK,205.75826820,67.18734477,76.33251797,41.11207044,118.99905600,102.64932910,11.49932799,,,,,,,,,
Costa Rica,CRI,83.49911299,39.02686734,37.12305703,14.21586682,30.36716900,50.72071616,2.34094656,,,,,,,,,
Croatia,HRV,331.28178160,161.43517170,159.68767950,87.01700151,124.15952970,241.76911660,20.25064806,,,,,,,,,
Cuba,CUB,157.48650630,84.43584579,92.52776367,60.16467949,67.93074189,95.08639497,23.82385864,,,,,,,,,
Cyprus,CYP,122.51873550,65.78528360,62.35631301,40.51228240,31.78694075,74.39716379,9.75593018,,,,,,,,,
Czechia,CZE,225.47332080,153.60439080,152.67008150,73.95108264,105.95630360,217.98403300,22.29136897,,,,,,,,,
Democratic People's Republic of Korea,PRK,182.64301240,76.88922490,54.54232212,65.12193871,24.68208721,142.28713510,8.09253453,,,,,,,,,
Democratic Republic of the Congo,COD,62.21541086,15.03470650,17.00592777,5.07320177,15.60948102,28.32320785,2.04647610,,,,,,,,,
Denmark,DNK,136.10237250,65.36766757,43.06931150,46.90467154,34.19855251,82.18325036,12.27978757,,,,,,,,,
Djibouti,DJI,62.27384318,16.50311578,14.25610881,14.02850345,18.52941443,40.72270496,0.78819521,,,,,,,,,
Dominica,DMA,186.47135330,51.45204576,78.27028503,17.88634002,82.24909029,79.35581347,14.66152406,,,,,,,,,
Dominican Republic,DOM,131.66176870,68.62120155,48.35413692,39.42018118,56.85289727,76.78472891,16.84396757,,,,,,,,,
Ecuador,ECU,52.90227110,29.09030547,29.09164936,8.39714733,34.66159060,44.05340198,3.60092451,,,,,,,,,
Egypt,EGY,152.12458540,89.01144937,68.35275328,47.31281080,96.03971880,85.94890384,20.36093207,,,,,,,,,
El Salvador,SLV,80.10424554,48.87655776,48.06453607,9.94030543,32.50190523,56.48258686,2.94454895,,,,,,,,,
Equatorial Guinea,GNQ,44.02306961,10.35033366,12.92983981,3.91030398,19.47464608,17.53356978,1.90432786,,,,,,,,,
Eritrea,ERI,54.10395590,14.01885156,11.64450043,6.09100404,15.88091586,33.52702797,0.61330474,,,,,,,,,
Estonia,EST,394.57667860,176.33276470,71.89914956,67.82027534,179.65872520,202.70371330,22.67070236,,,,,,,,,
Eswatini,SWZ,83.99683773,18.26721598,29.67408857,8.19854492,49.00100368,39.16809279,3.04807442,,,,,,,,,
Ethiopia,ETH,34.05509401,7.70082427,6.90423670,2.05335298,8.51744941,24.82309392,0.47890677,,,,,,,,,
Fiji,FJI,180.41866100,94.97906243,86.26065250,54.90032970,99.25904839,122.22844860,9.78645808,,,,,,,,,
Finland,FIN,240.78839840,126.19749130,128.11743650,46.35837363,68.24479240,166.43348330,25.29689775,,,,,,,,,
France,FRA,120.83953230,57.14320816,23.87907209,20.99561385,31.53149956,73.01980233,14.57615712,,,,,,,,,
Gabon,GAB,89.92240768,24.58988595,31.27084179,9.69718750,40.82256545,40.29370434,3.57747915,,,,,,,,,
Gambia,GMB,71.20354457,22.41862070,21.04618179,9.44836714,23.46132588,40.33358179,2.34778854,,,,,,,,,
Georgia,GEO,501.71349240,159.16332930,214.04806500,106.32796780,186.92725140,302.22357770,22.64012621,,,,,,,,,
Germany,DEU,234.98402490,111.37351690,108.31810810,45.78275864,71.95597805,132.60559020,17.39416482,,,,,,,,,
Ghana,GHA,76.11977265,26.74587345,26.22238151,5.43969478,35.10590236,37.27905531,2.65178587,,,,,,,,,
Greece,GRC,252.15933070,136.00228380,105.96342860,79.68509909,81.02157542,163.70143880,21.06016217,,,,,,,,,
Greenland,GRL,98.53823080,50.63028295,46.92276713,56.67491713,55.92039832,73.82562393,5.86568383,,,,,,,,,
Grenada,GRD,132.24720500,49.34304516,70.33897227,21.09142148,56.51259150,71.43133600,10.54978212,,,,,,,,,
Guam,GUM,158.65925800,91.03193063,70.66140572,47.68503704,84.55260273,109.28824280,11.40511721,,,,,,,,,
Guatemala,GTM,44.52895563,22.93025403,27.70595810,6.38352983,15.68289562,31.36978981,0.58418275,,,,,,,,,
Guinea,GIN,62.37494828,18.61382353,19.12239112,10.42396156,18.69409511,33.06474628,1.72050887,,,,,,,,,
Guinea-Bissau,GNB,70.30073097,21.06076970,19.99718645,5.60473478,21.03426471,40.89143999,1.88894435,,,,,,,,,
Guyana,GUY,172.53539020,68.49132527,92.20843886,32.10201475,86.21333474,92.71687932,12.84273368,,,,,,,,,
Haiti,HTI,128.30337360,43.11935468,59.25291113,12.55487831,28.62395468,65.58870706,7.15961461,,,,,,,,,
Honduras,HND,82.05421994,37.04783531,47.75094551,16.10366688,32.85223819,55.54415812,1.81346512,,,,,,,,,
Hungary,HUN,342.96760530,179.81601570,174.15789210,92.65973747,153.36684330,286.71093200,19.04100682,,,,,,,,,
Iceland,ISL,101.48313840,67.24439146,44.27019196,25.45578208,34.29647157,80.26423468,13.23946854,,,,,,,,,
India,IND,97.07222846,45.30740356,48.25948853,22.92086757,27.13122964,75.65793580,5.22269963,,,,,,,,,
Indonesia,IDN,173.19276830,43.23220158,44.84814639,43.97167725,45.55054838,92.73665787,6.13870213,,,,,,,,,
